word,count
copyright,6
c,1
year,1
holder,3
all,2
rights,1
reserved,1
redistribution,1
and,8
use,4
in,6
source,2
binary,2
forms,1
with,2
or,11
without,2
modification,1
are,3
permitted,1
provided,3
that,1
the,15
following,4
conditions,3
met,1
redistributions,2
of,14
code,1
must,3
retain,1
above,2
notice,2
this,7
list,2
disclaimer,2
form,1
reproduce,1
documentation,1
other,1
materials,2
distribution,1
advertising,1
mentioning,1
features,1
software,5
display,1
acknowledgement,1
product,1
includes,1
developed,1
by,2
organization,2
neither,1
name,1
nor,1
names,1
its,1
contributors,1
may,1
be,2
used,1
to,3
endorse,1
promote,1
products,1
derived,1
from,1
specific,1
prior,1
written,1
permission,1
is,2
as,1
any,4
express,1
implied,2
warranties,2
including,3
but,2
not,2
limited,2
merchantability,1
fitness,1
for,2
a,1
particular,1
purpose,1
disclaimed,1
no,1
event,1
shall,1
liable,1
direct,1
indirect,1
incidental,1
special,1
exemplary,1
consequential,1
damages,1
procurement,1
substitute,1
goods,1
services,1
loss,1
data,1
profits,1
business,1
interruption,1
however,1
caused,1
on,1
theory,1
liability,2
whether,1
contract,1
strict,1
tort,1
negligence,1
otherwise,1
arising,1
way,1
out,1
even,1
if,1
advised,1
possibility,1
such,1
damage,1
